system,system_label,multiplicity,multiplicity_label,state_index,state_label,orca_state_index,source_file,excitation_energy_au,excitation_energy_ev,excitation_energy_cm1,wavelength_nm,spin_expectation_s2,oscillator_strength,transition_dipole_strength_au2,transition_dipole_x_au,transition_dipole_y_au,transition_dipole_z_au,dominant_transitions
pdi,Parent PDI,triplet,Triplet,2,T2,17,calculations/pdi/excited_state_calculations/tda_triplets/pdi_tda_triplets_tprint.out,0.10838,2.949,23786.6,420.42793624957613,2.0,nan,nan,nan,nan,nan,HOMO-3 → LUMO (49.2%); HOMO → LUMO+1 (40.4%)
pdi,Parent PDI,triplet,Triplet,3,T3,18,calculations/pdi/excited_state_calculations/tda_triplets/pdi_tda_triplets_tprint.out,0.113131,3.078,24829.4,402.8076621182586,2.0,nan,nan,nan,nan,nan,HOMO-4 → LUMO (46.3%); HOMO → LUMO+2 (37.8%)
pdi,Parent PDI,triplet,Triplet,4,T4,19,calculations/pdi/excited_state_calculations/tda_triplets/pdi_tda_triplets_tprint.out,0.121038,3.294,26564.8,376.39404493017605,2.0,nan,nan,nan,nan,nan,HOMO-1 → LUMO (79.7%); HOMO-2 → LUMO+1 (9.4%)
pdi,Parent PDI,triplet,Triplet,5,T5,20,calculations/pdi/excited_state_calculations/tda_triplets/pdi_tda_triplets_tprint.out,0.1245,3.388,27324.7,365.95099881936244,2.0,nan,nan,nan,nan,nan,HOMO-2 → LUMO (82.5%); HOMO-1 → LUMO+1 (11.7%)
pdi,Parent PDI,triplet,Triplet,6,T6,21,calculations/pdi/excited_state_calculations/tda_triplets/pdi_tda_triplets_tprint.out,0.154189,4.196,33840.6,295.4818836987607,2.0,nan,nan,nan,nan,nan,HOMO-12 → LUMO (24.4%); HOMO-3 → LUMO+2 (22.3%); HOMO → LUMO+6 (21.3%); HOMO-4 → LUMO+1 (16.7%)
pdi,Parent PDI,triplet,Triplet,7,T7,22,calculations/pdi/excited_state_calculations/tda_triplets/pdi_tda_triplets_tprint.out,0.155983,4.245,34234.4,292.0711387514723,2.0,nan,nan,nan,nan,nan,HOMO → LUMO+3 (86.0%); HOMO-3 → LUMO+4 (6.8%)
pdi,Parent PDI,triplet,Triplet,8,T8,23,calculations/pdi/excited_state_calculations/tda_triplets/pdi_tda_triplets_tprint.out,0.159454,4.339,34996.2,285.7437160636091,2.0,nan,nan,nan,nan,nan,HOMO-5 → LUMO (53.1%); HOMO-6 → LUMO+1 (23.9%); HOMO-5 → LUMO+5 (7.4%)
pdi,Parent PDI,triplet,Triplet,9,T9,24,calculations/pdi/excited_state_calculations/tda_triplets/pdi_tda_triplets_tprint.out,0.159523,4.341,35011.1,285.612067265607,2.0,nan,nan,nan,nan,nan,HOMO-6 → LUMO (53.0%); HOMO-5 → LUMO+1 (23.9%); HOMO-6 → LUMO+5 (7.4%)
pdi,Parent PDI,triplet,Triplet,10,T10,25,calculations/pdi/excited_state_calculations/tda_triplets/pdi_tda_triplets_tprint.out,0.162189,4.413,35596.5,280.9521830953999,2.0,nan,nan,nan,nan,nan,HOMO → LUMO+2 (35.5%); HOMO-4 → LUMO (35.5%); HOMO-8 → LUMO (11.9%); HOMO-7 → LUMO+1 (7.6%)
pdi,Parent PDI,triplet,Triplet,11,T11,26,calculations/pdi/excited_state_calculations/tda_triplets/pdi_tda_triplets_tprint.out,0.164607,4.479,36127.1,276.8122313016298,2.0,nan,nan,nan,nan,nan,HOMO-13 → LUMO (26.6%); HOMO-1 → LUMO+2 (19.1%); HOMO-3 → LUMO+1 (18.4%); HOMO → LUMO+5 (17.7%)
pdi,Parent PDI,triplet,Triplet,12,T12,27,calculations/pdi/excited_state_calculations/tda_triplets/pdi_tda_triplets_tprint.out,0.167076,4.546,36668.9,272.7325085789705,2.0,nan,nan,nan,nan,nan,HOMO → LUMO+1 (44.9%); HOMO-3 → LUMO (25.1%); HOMO-2 → LUMO+3 (11.2%); HOMO-1 → LUMO+4 (7.0%)
pdi,Parent PDI,triplet,Triplet,13,T13,28,calculations/pdi/excited_state_calculations/tda_triplets/pdi_tda_triplets_tprint.out,0.170051,4.627,37322.0,267.95806872703696,2.0,nan,nan,nan,nan,nan,HOMO → LUMO+4 (54.9%); HOMO-7 → LUMO (13.7%); HOMO-3 → LUMO+3 (11.5%); HOMO-4 → LUMO+1 (6.1%)
pdi,Parent PDI,triplet,Triplet,14,T14,29,calculations/pdi/excited_state_calculations/tda_triplets/pdi_tda_triplets_tprint.out,0.171743,4.673,37693.3,265.3203475283544,2.0,nan,nan,nan,nan,nan,HOMO-9 → LUMO (51.2%); HOMO-10 → LUMO+1 (20.1%); HOMO-6 → LUMO+2 (8.6%); HOMO-5 → LUMO+6 (7.5%)
pdi,Parent PDI,triplet,Triplet,15,T15,30,calculations/pdi/excited_state_calculations/tda_triplets/pdi_tda_triplets_tprint.out,0.172813,4.702,37928.1,263.6839608677158,2.0,nan,nan,nan,nan,nan,HOMO-7 → LUMO (41.0%); HOMO → LUMO+4 (20.7%); HOMO-8 → LUMO+1 (17.7%); HOMO-7 → LUMO+5 (5.9%)
pdi_terminal_functionalized,Terminal-functionalized PDI,singlet,Singlet,1,S1,1,calculations/pdi_terminal_functionalized/excited_state_calculations/tda_singlets/pdi_terminal_functionalized_tda_singlets_tprint.out,0.100989,2.748061,22164.6,451.16974623197956,0.0,1.387509132,20.60874,-4.53957,-0.02546,0.02072,HOMO → LUMO (95.2%)
pdi_terminal_functionalized,Terminal-functionalized PDI,singlet,Singlet,2,S2,2,calculations/pdi_terminal_functionalized/excited_state_calculations/tda_singlets/pdi_terminal_functionalized_tda_singlets_tprint.out,0.142027,3.864738,31171.2,320.8088061855681,0.0,3.62e-06,4e-05,0.00032,7e-05,-0.00617,HOMO-1 → LUMO (67.5%); HOMO-3 → LUMO (11.8%); HOMO → LUMO+3 (9.8%)
