system,system_label,state_label,multiplicity,multiplicity_label,excitation_energy_ev,wavelength_nm,oscillator_strength,dominant_transitions
pdi_terminal_functionalized,Terminal-functionalized PDI,S23,singlet,Singlet,6.241,198.7,0.1203,HOMO → LUMO+7 (34.1%); HOMO-1 → LUMO+1 (23.3%); HOMO → LUMO+10 (9.6%); HOMO → LUMO+19 (8.5%); HOMO → LUMO+15 (7.7%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S24,singlet,Singlet,6.259,198.1,0.391,HOMO-1 → LUMO+1 (47.4%); HOMO → LUMO+7 (15.8%); HOMO → LUMO+4 (7.7%); HOMO-2 → LUMO+5 (5.2%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S25,singlet,Singlet,6.286,197.2,0.7385,HOMO-3 → LUMO+2 (68.2%); HOMO-1 → LUMO+3 (8.5%); HOMO-6 → LUMO+2 (7.7%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S26,singlet,Singlet,6.292,197.0,0.0,HOMO-2 → LUMO+1 (80.8%); HOMO-1 → LUMO+5 (6.3%); HOMO-1 → LUMO (5.1%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S27,singlet,Singlet,6.327,196.0,0.0001,HOMO-25 → LUMO (69.1%); HOMO-17 → LUMO+1 (15.0%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S28,singlet,Singlet,6.478,191.4,1.7478,HOMO-1 → LUMO+3 (28.5%); HOMO-4 → LUMO+1 (15.4%); HOMO-19 → LUMO (12.6%); HOMO-2 → LUMO+4 (10.4%); HOMO-3 → LUMO+2 (9.7%); HOMO → LUMO+5 (7.8%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S29,singlet,Singlet,6.543,189.5,0.0011,HOMO-8 → LUMO (22.0%); HOMO-9 → LUMO+2 (11.2%); HOMO-29 → LUMO (8.1%); HOMO-10 → LUMO+6 (8.0%); HOMO-7 → LUMO+2 (7.4%); HOMO-8 → LUMO+6 (6.0%); HOMO-8 → LUMO+5 (5.0%)
pdi_terminal_functionalized,Terminal-functionalized PDI,S30,singlet,Singlet,6.567,188.8,0.0419,HOMO-3 → LUMO+1 (23.0%); HOMO-4 → LUMO+2 (20.4%); HOMO-18 → LUMO (20.3%); HOMO-11 → LUMO (13.8%); HOMO → LUMO+6 (5.8%)
pdi_terminal_functionalized,Terminal-functionalized PDI,T1,triplet,Triplet,1.605,772.5,,HOMO → LUMO (89.6%)
pdi_terminal_functionalized,Terminal-functionalized PDI,T2,triplet,Triplet,2.935,422.4,,HOMO-4 → LUMO (47.7%); HOMO → LUMO+1 (40.9%)
pdi_terminal_functionalized,Terminal-functionalized PDI,T3,triplet,Triplet,3.089,401.4,,HOMO → LUMO+2 (37.6%); HOMO-3 → LUMO (36.3%); HOMO-6 → LUMO (10.5%)
pdi_terminal_functionalized,Terminal-functionalized PDI,T4,triplet,Triplet,3.311,374.5,,HOMO-1 → LUMO (79.5%); HOMO-2 → LUMO+1 (9.4%)
pdi_terminal_functionalized,Terminal-functionalized PDI,T5,triplet,Triplet,3.409,363.7,,HOMO-2 → LUMO (81.6%); HOMO-1 → LUMO+1 (11.8%)
pdi_terminal_functionalized,Terminal-functionalized PDI,T6,triplet,Triplet,4.2,295.2,,HOMO → LUMO+3 (64.9%); HOMO → LUMO+2 (9.0%); HOMO-3 → LUMO (7.8%)
pdi_terminal_functionalized,Terminal-functionalized PDI,T7,triplet,Triplet,4.201,295.1,,HOMO → LUMO+6 (21.8%); HOMO-4 → LUMO+2 (21.4%); HOMO-18 → LUMO (18.6%); HOMO-3 → LUMO+1 (9.6%); HOMO-6 → LUMO+1 (9.1%)
pdi_terminal_functionalized,Terminal-functionalized PDI,T8,triplet,Triplet,4.232,293.0,,HOMO-3 → LUMO (29.3%); HOMO → LUMO+3 (20.2%); HOMO-5 → LUMO+1 (11.9%); HOMO-6 → LUMO (10.5%); HOMO → LUMO+2 (10.0%)
pdi_terminal_functionalized,Terminal-functionalized PDI,T9,triplet,Triplet,4.252,291.6,,HOMO-7 → LUMO (29.4%); HOMO-9 → LUMO (21.6%); HOMO-8 → LUMO+1 (13.4%); HOMO-10 → LUMO+1 (9.3%); HOMO-8 → LUMO+2 (5.2%)
pdi_terminal_functionalized,Terminal-functionalized PDI,T10,triplet,Triplet,4.253,291.5,,HOMO-8 → LUMO (30.1%); HOMO-10 → LUMO (20.9%); HOMO-7 → LUMO+1 (11.8%); HOMO-9 → LUMO+1 (11.1%); HOMO-7 → LUMO+2 (5.1%)
pdi_terminal_functionalized,Terminal-functionalized PDI,T11,triplet,Triplet,4.351,285.0,,HOMO-5 → LUMO (53.1%); HOMO-3 → LUMO+1 (14.5%); HOMO-6 → LUMO+1 (9.7%); HOMO-5 → LUMO+5 (6.0%)
pdi_terminal_functionalized,Terminal-functionalized PDI,T12,triplet,Triplet,4.402,281.7,,HOMO-9 → LUMO (29.6%); HOMO-7 → LUMO (20.3%); HOMO-10 → LUMO+1 (13.6%); HOMO-8 → LUMO+1 (6.3%); HOMO-9 → LUMO+6 (5.5%); HOMO-10 → LUMO+2 (5.4%)
pdi_terminal_functionalized,Terminal-functionalized PDI,T13,triplet,Triplet,4.416,280.8,,HOMO-10 → LUMO (29.6%); HOMO-8 → LUMO (18.4%); HOMO-9 → LUMO+1 (12.2%); HOMO-7 → LUMO+1 (8.3%); HOMO-9 → LUMO+2 (5.9%); HOMO-10 → LUMO+6 (5.6%)
pdi_terminal_functionalized,Terminal-functionalized PDI,T14,triplet,Triplet,4.47,277.4,,HOMO-19 → LUMO (23.0%); HOMO → LUMO+5 (18.7%); HOMO-4 → LUMO+1 (18.4%); HOMO-1 → LUMO+2 (18.1%)
pdi_terminal_functionalized,Terminal-functionalized PDI,T15,triplet,Triplet,4.543,272.9,,HOMO → LUMO+1 (45.1%); HOMO-4 → LUMO (25.7%); HOMO-2 → LUMO+3 (9.8%); HOMO-1 → LUMO+4 (7.1%)
