system,source_file,cp_index,start_line,signature,cp_type,corresponding_nucleus,position_bohr,position_angstrom,density_of_all_electrons,density_of_alpha_electrons,density_of_beta_electrons,spin_density_of_electrons,lagrangian_kinetic_energy_g_r,g_r_in_x_y_z,hamiltonian_kinetic_energy_k_r,potential_energy_density_v_r,energy_density_e_r_or_h_r,laplacian_of_electron_density,electron_localization_function_elf,localized_orbital_locator_lol,local_information_entropy,interaction_region_indicator_iri,reduced_density_gradient_rdg,reduced_density_gradient_with_promolecular_approximation,sign_lambda2_rho,sign_lambda2_rho_with_promolecular_approximation,corr_hole_for_alpha_ref,source_function_ref,wavefunction_value_for_orbital_1,average_local_ionization_energy_alie,van_der_waals_potential_probe_atom,delta_g_under_promolecular_approximation,delta_g_under_hirshfeld_partition,user_defined_real_space_function,esp_from_nuclear_charges,esp_from_electrons,total_esp,norm_of_gradient_is,total,eigenvalues_of_hessian,determinant_of_hessian,ellipticity_of_electron_density,eta_index,stiffness,eigenvalues_of_stress_tensor,stress_tensor_stiffness,stress_tensor_polarizability
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,21,1401,"(3,-3)",nuclear,3.0,0.003206308283,0.001696705275,122.5640019,61.28200094,61.28200094,0.0,8.705004099,2.449381261,243317.607,-243326.312,-243317.607,-973235.6081,0.9999989949,0.9989984784,0.3000881588,1.654380024e-13,100.0,100.0,-122.5640019,-121.3992626,-0.1877596942,28753.5621,-2.075799698e-05,9.99221581,8.434125881e+93,0.04072865672,0.05695778089,1.0,66821563.04,-45.55347677,41931170000.0,3.279702898e-11,-973235.6081,-324411.099,-3.414209815e+16,7e-06,-1.000007,-1.0,-81108.22827,1.00001,0.99999
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,22,1471,"(3,-3)",nuclear,10.0,-0.013944182426,-0.007378943565,122.5875462,61.29377309,61.29377309,0.0,8.705538668,2.33963395,243364.6453,-243373.3508,-243364.6453,-973423.7589,0.9999989955,0.9989987372,0.3000280723,2.723563038e-13,100.0,100.0,-122.5875462,-121.3999247,-0.01363326408,14369.96294,1.921991535e-05,9.992201425,8.741897084e+94,0.04104477984,0.05721817547,1.0,81198322.55,-44.65663092,50952730000.0,5.400430965e-11,-973423.7589,-324473.5219,-3.416190354e+16,8e-06,-1.000009,-1.000001,-81123.7974,1.000012,0.999988
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,23,1541,"(3,-3)",nuclear,23.0,0.014240270814,0.007535626792,122.6717662,61.33588311,61.33588311,0.0,8.22294412,2.073579929,243542.0072,-243550.2301,-243542.0072,-974135.137,0.9999991058,0.999055271,0.2998129527,8.900037149e-13,100.0,100.0,-122.6717662,-121.3925428,-0.0002865961906,7903.648092,5.52482154e-05,10.06877969,1.335949328e+77,0.05219130228,0.06822308132,1.0,2660111.404,-40.58532959,1669221000.0,1.766082144e-10,-974135.137,-324709.7617,-3.423685485e+16,8e-06,-1.000013,-1.000005,-81182.63559,1.000018,0.999982
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,24,1611,"(3,-3)",nuclear,25.0,-0.012784543342,-0.006765288989,198.7615306,99.38076531,99.38076531,0.0,28.8702063,11.23235123,555307.2073,-555336.0775,-555307.2073,-2221113.348,0.9999977938,0.9985168577,0.006173134637,3.205029008e-13,100.0,100.0,-198.7615306,-193.1735467,-0.0001022589537,16568.97156,-6.456490816e-05,13.92638086,3.049975379e+85,0.04408364542,0.06699984268,1.0,16107529.95,-42.37619319,10107610000.0,1.081427802e-10,-2221113.348,-740364.0301,-4.058339754e+17,0.0,-1.000015,-1.000014,-185111.2604,1.000012,0.999988
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,25,1681,"(3,-3)",nuclear,32.0,-0.0126300808,-0.006683550931,0.4223383646,0.2111691823,0.2111691823,0.0,0.01394709978,0.008032285304,6.107404008,-6.121351108,-6.107404008,-24.37382763,0.9995821024,0.9799769473,0.013008583,3.691034318e-15,100.0,100.0,-0.4223383646,-0.2995883691,-1.275615238e-06,0.1546148406,-6.912483539e-05,0.7365358768,2.4565262e+25,0.1647273037,0.2970065063,1.0,48.93256145,-23.98656389,15653.86,1.430127212e-15,-24.37382763,-7.342427478,-532.4512411,0.002225,-1.161082,-1.158505,-1.840315285,1.16427,0.858907
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,26,1751,"(3,-3)",nuclear,18.0,0.013156061657,0.006961888014,122.5716933,61.28584663,61.28584663,0.0,8.809185404,2.549689126,243324.5747,-243333.3839,-243324.5747,-973263.0621,0.999998971,0.9989866102,0.3000685324,1.208699986e-13,100.0,100.0,-122.5716933,-121.3980281,-0.001594728046,10881.46642,5.143590123e-05,9.980063156,4.561822834e+81,0.03672627831,0.05073801292,1.0,6348579.339,-42.90000232,3983770000.0,2.396336051e-11,-973263.0621,-324420.0058,-3.414498757e+16,4e-06,-1.000007,-1.000003,-81110.65237,1.00001,0.99999
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,27,1821,"(3,-3)",nuclear,1.0,0.017134667182,0.009067275389,122.5862739,61.29313697,61.29313697,0.0,8.637840291,2.333558123,243361.9212,-243370.559,-243361.9212,-973413.1334,0.999999011,0.9990064986,0.3000313197,2.980802337e-13,100.0,100.0,-122.5862739,-121.3980797,-0.1683131541,28401.97289,-8.102446434e-06,9.996866178,5.402123051e+82,0.03717444584,0.05153804854,1.0,7800608.15,-44.64676804,4894932000.0,5.910431757e-11,-973413.1334,-324469.8348,-3.416078486e+16,8e-06,-1.000009,-1.000002,-81122.88399,1.000013,0.999987
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,28,1891,"(3,-3)",nuclear,2.0,-0.003265867096,-0.001728222441,122.5862708,61.29313541,61.29313541,0.0,8.637818205,2.333466579,243361.9123,-243370.5501,-243361.9123,-973413.0979,0.999999011,0.9990065011,0.3000313277,2.378355359e-13,100.0,100.0,-122.5862708,-121.3980795,-0.1711694002,28450.61868,-1.520659354e-05,9.996867069,5.394594431e+82,0.03717494807,0.05153860236,1.0,7799701.637,-44.64676103,4894363000.0,4.715880175e-11,-973413.0979,-324469.823,-3.416078113e+16,8e-06,-1.000009,-1.000002,-81122.88102,1.000013,0.999987
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,29,1961,"(3,-3)",nuclear,30.0,0.033223171132,0.017580945037,302.6589697,151.3294848,151.3294848,0.0,74.80021712,22.16652057,1131877.317,-1131952.117,-1131877.317,-4527210.067,0.999996354,0.9980941742,-0.6269418521,1.101200063e-12,100.0,100.0,-302.6589697,-292.371071,-5.353386217e-05,31056.01345,3.337158303,18.3289496,4.491082957e+71,0.05857212799,0.09621515144,1.0,1332294.819,-42.61555138,836001600.0,5.900857566e-10,-4527210.067,-1509050.331,-3.43659359e+18,2e-06,-1.000021,-1.000018,-377314.7493,1.000021,0.999979
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,30,2031,"(3,-3)",nuclear,9.0,0.000586785757,0.00031051365,122.5716935,61.28584673,61.28584673,0.0,8.8091434,2.549613298,243324.58,-243333.3891,-243324.58,-973263.0834,0.999998971,0.998986615,0.3000685319,3.608053442e-13,100.0,100.0,-122.5716935,-121.3980273,-0.001654606605,10895.00497,-0.0001129234026,9.980064361,4.529852934e+81,0.03672755025,0.05073972584,1.0,6344859.748,-42.90000418,3981436000.0,7.153229628e-11,-973263.0834,-324420.0129,-3.414498981e+16,4e-06,-1.000007,-1.000003,-81110.65414,1.00001,0.99999
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,31,2101,"(3,-3)",nuclear,24.0,0.000796637897,0.000421562621,122.6717611,61.33588055,61.33588055,0.0,8.222977302,2.073519977,243541.9957,-243550.2187,-243541.9957,-974135.0911,0.9999991058,0.9990552671,0.2998129657,1.737438191e-13,100.0,100.0,-122.6717611,-121.3925429,-0.0002939063581,7910.974429,-0.0001568977909,10.06878015,1.336521737e+77,0.05219339743,0.06822474534,1.0,2660206.365,-40.58533009,1669281000.0,3.447691703e-11,-974135.0911,-324709.7463,-3.423685001e+16,8e-06,-1.000013,-1.000005,-81182.63176,1.000018,0.999982
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,32,2171,"(3,-3)",nuclear,19.0,0.041621420775,0.02202510736,122.6280546,61.31402729,61.31402729,0.0,8.691332606,2.203259892,243429.5364,-243438.2277,-243429.5364,-973683.3802,0.9999989998,0.9990009192,0.2999246395,7.016787305e-13,100.0,100.0,-122.6280546,-121.3978861,-0.001130524446,10932.95381,1.113258743e-05,9.973489209,4.835041605e+85,0.04651843267,0.06432320591,1.0,13744024.56,-40.52350869,8624487000.0,1.391833017e-10,-973683.3802,-324559.8876,-3.418924474e+16,1.1e-05,-1.000011,-1.0,-81145.28994,1.000015,0.999985
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,33,2241,"(3,-3)",nuclear,20.0,0.042701070671,0.02259643348,122.5850357,61.29251783,61.29251783,0.0,8.742544866,2.401065404,243340.876,-243349.6185,-243340.876,-973328.5338,0.9999989868,0.9989944509,0.3000344804,7.357120366e-13,100.0,100.0,-122.5850357,-121.3978592,-0.01241316053,14443.73732,-8.924851575e-06,9.97466134,3.683532782e+89,0.04304059196,0.05985682589,1.0,28946909.31,-41.33304678,18164450000.0,1.458777529e-10,-973328.5338,-324441.8959,-3.415187887e+16,7e-06,-1.000008,-1.000001,-81115.93331,1.000012,0.999988
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,34,2311,"(3,-3)",nuclear,7.0,0.005278537437,0.002793281718,122.5850409,61.29252045,61.29252045,0.0,8.742558759,2.400843679,243340.8979,-243349.6405,-243340.8979,-973328.6216,0.9999989868,0.9989944494,0.3000344671,3.225488738e-13,100.0,100.0,-122.5850409,-121.397859,-0.0126165779,14456.61602,-9.783755721e-06,9.97466207,3.6663292e+89,0.04304285501,0.05986021529,1.0,28935618.99,-41.3330354,18157360000.0,6.395533141e-11,-973328.6216,-324441.9251,-3.415188811e+16,7e-06,-1.000008,-1.000001,-81115.94063,1.000012,0.999988
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,35,2381,"(3,-3)",nuclear,8.0,0.00651583584,0.003448031836,122.6280622,61.31403108,61.31403108,0.0,8.691286861,2.203126047,243429.5568,-243438.2481,-243429.5568,-973683.4619,0.9999989998,0.9990009246,0.2999246202,2.11893216e-13,100.0,100.0,-122.6280622,-121.3978858,-0.001134851127,10943.90129,-4.187429314e-05,9.973489613,4.811140754e+85,0.0465196057,0.06432439059,1.0,13738350.02,-40.52348726,8620927000.0,4.203063046e-11,-973683.4619,-324559.9148,-3.418925335e+16,1.1e-05,-1.000011,-1.0,-81145.29671,1.000015,0.999985
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,36,2451,"(3,-3)",nuclear,39.0,0.06198207624,0.032799502231,0.4349446548,0.2174723274,0.2174723274,0.0,0.006209036053,0.002769951,6.464228942,-6.470437978,-6.464228942,-25.83207962,0.9999247518,0.9914134167,0.01333291056,4.412849896e-15,100.0,100.0,-0.4349446548,-0.2970842214,-0.0001463071982,0.2277692782,1.98800737e-05,0.616882341,5.361939128e+26,0.1049552667,0.2016594065,1.0,57.40776413,-24.95312343,20365.61,1.766023803e-15,-25.83207962,-8.095811493,-636.6853353,0.00061,-1.095732,-1.095064,-2.026123446,1.096881,0.911676
pdi,calculations/pdi/multiwfn_analysis/qtaim/pdi_CPprop.txt,37,2521,"(3,-3)",nuclear,27.0,0.012522189218,0.006626457165,302.6589889,151.3294945,151.3294945,0.0,74.8001824,22.16641077,1131877.465,-1131952.265,-1131877.465,-4527210.659,0.999996354,0.9980941753,-0.6269419883,1.612901926e-12,100.0,100.0,-302.6589889,-292.3710699,-5.622981308e-05,31079.2665,-9.569316321,18.32894991,4.48905405e+71,0.05857159205,0.09621425129,1.0,1332244.653,-42.61553652,835970100.0,8.642848398e-10,-4527210.659,-1509050.528,-3.436594938e+18,2e-06,-1.000021,-1.000018,-377314.7986,1.000021,0.999979
