system,atom_i,element_i,atom_j,element_j,bond_type,mayer_bond_order,region_i,label_i,region_j,label_j,source_file
pdi,22,N,31,H,N-H,0.88660652,imide,N1,imide,H1,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,23,C,30,O,C-O,2.1850994,outer,C22,carbonyl,O4,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,24,C,25,N,C-N,1.17939877,outer,C23,imide,N2,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,24,C,27,O,C-O,2.18436623,outer,C23,carbonyl,O1,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,25,N,26,C,N-C,1.17895048,imide,N2,outer,C24,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,25,N,32,H,N-H,0.88665561,imide,N2,imide,H2,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi,26,C,28,O,C-O,2.18418533,outer,C24,carbonyl,O2,calculations/pdi/multiwfn_analysis/bond_orders/pdi_mayer_bond_orders.txt
pdi_terminal_functionalized,1,C,2,C,C-C,1.04458592,core,C1,core,C2,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,1,C,6,C,C-C,1.2516073,core,C1,core,C6,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,1,C,18,C,C-C,0.06857941,core,C1,middle,C18,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,1,C,20,C,C-C,1.44336693,core,C1,middle,C20,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,2,C,3,C,C-C,1.252488,core,C2,core,C3,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,2,C,7,C,C-C,1.44403757,core,C2,middle,C7,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,2,C,9,C,C-C,0.06468174,core,C2,middle,C9,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,3,C,4,C,C-C,1.2550819,core,C3,core,C4,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,3,C,10,C,C-C,1.29464271,core,C3,middle,C10,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
