system,source_file,energy_ev,tdos,opdos,pdos_fragment_1,pdos_fragment_2,pdos_fragment_3,pdos_fragment_4,pdos_fragment_5,pdos_fragment_6,pdos_fragment_7,pdos_fragment_8,pdos_fragment_9,pdos_fragment_10
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.78126,5.9e-05,-3e-06,1.6e-05,1e-06,4e-05,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.77593,7e-05,-4e-06,1.9e-05,2e-06,4.8e-05,2e-06,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.77059,8.4e-05,-5e-06,2.2e-05,2e-06,5.8e-05,2e-06,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.76526,0.0001,-6e-06,2.6e-05,2e-06,6.9e-05,2e-06,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.75992,0.000119,-7e-06,3.1e-05,3e-06,8.2e-05,3e-06,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.75458,0.000141,-8e-06,3.7e-05,3e-06,9.7e-05,3e-06,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.74925,0.000167,-1e-05,4.4e-05,4e-06,0.000115,4e-06,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.74391,0.000197,-1.1e-05,5.2e-05,5e-06,0.000136,5e-06,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.73858,0.000233,-1.4e-05,6.1e-05,6e-06,0.00016,6e-06,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.73324,0.000275,-1.6e-05,7.2e-05,7e-06,0.000189,7e-06,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.72791,0.000323,-1.9e-05,8.5e-05,8e-06,0.000222,8e-06,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.72257,0.00038,-2.2e-05,0.0001,9e-06,0.000261,9e-06,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.71724,0.000445,-2.6e-05,0.000117,1.1e-05,0.000306,1.1e-05,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.7119,0.000521,-3e-05,0.000137,1.2e-05,0.000359,1.3e-05,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.70657,0.000609,-3.5e-05,0.000161,1.5e-05,0.000419,1.5e-05,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.70123,0.000711,-4.1e-05,0.000187,1.7e-05,0.000489,1.8e-05,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.6959,0.000828,-4.8e-05,0.000218,2e-05,0.000569,2e-05,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.69056,0.000962,-5.6e-05,0.000254,2.3e-05,0.000662,2.4e-05,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.68523,0.001117,-6.5e-05,0.000295,2.7e-05,0.000768,2.8e-05,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.67989,0.001294,-7.5e-05,0.000342,3.1e-05,0.000889,3.2e-05,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.67456,0.001496,-8.6e-05,0.000395,3.6e-05,0.001029,3.7e-05,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.66922,0.001728,-0.0001,0.000456,4.1e-05,0.001187,4.3e-05,0.0,0.0,0.0,0.0,0.0,0.0
