system,system_label,source_output,job_normal_termination,multiplicity,multiplicity_label,global_state_number,local_state_index,state_label,state_energy_hartree,state_energy_ev,state_energy_cm1,nto_block_energy_ev,nto_filename,nto_path,nto_file_exists,nto_print_threshold,pair_index,hole_orbital,electron_orbital,weight,cumulative_weight,parse_warning
pdi_terminal_functionalized,Terminal-functionalized PDI,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/s1/pdi_terminal_functionalized_S1_nto.session.log,True,singlet,Singlet,1,1,S1,0.10098713733869992,2.748,22164.11492574,2.748,pdi_terminal_functionalized_S1_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/s1/pdi_terminal_functionalized_S1_nto.mwfn,True,,8,132a,147a,0.000664,0.9897799999999999,
pdi_terminal_functionalized,Terminal-functionalized PDI,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/s1/pdi_terminal_functionalized_S1_nto.session.log,True,singlet,Singlet,1,1,S1,0.10098713733869992,2.748,22164.11492574,2.748,pdi_terminal_functionalized_S1_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/s1/pdi_terminal_functionalized_S1_nto.mwfn,True,,9,131a,148a,0.000631,0.9904109999999999,
pdi_terminal_functionalized,Terminal-functionalized PDI,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/s1/pdi_terminal_functionalized_S1_nto.session.log,True,singlet,Singlet,1,1,S1,0.10098713733869992,2.748,22164.11492574,2.748,pdi_terminal_functionalized_S1_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/s1/pdi_terminal_functionalized_S1_nto.mwfn,True,,10,130a,149a,0.000617,0.9910279999999999,
pdi_terminal_functionalized,Terminal-functionalized PDI,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t1/pdi_terminal_functionalized_T1_nto.session.log,True,triplet,Triplet,1,1,T1,0.05898266209192626,1.605,12945.198128025,1.605,pdi_terminal_functionalized_T1_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t1/pdi_terminal_functionalized_T1_nto.mwfn,True,,1,139a,140a,0.908678,0.908678,
pdi_terminal_functionalized,Terminal-functionalized PDI,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t1/pdi_terminal_functionalized_T1_nto.session.log,True,triplet,Triplet,1,1,T1,0.05898266209192626,1.605,12945.198128025,1.605,pdi_terminal_functionalized_T1_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t1/pdi_terminal_functionalized_T1_nto.mwfn,True,,2,138a,141a,0.042051,0.9507289999999999,
pdi_terminal_functionalized,Terminal-functionalized PDI,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t1/pdi_terminal_functionalized_T1_nto.session.log,True,triplet,Triplet,1,1,T1,0.05898266209192626,1.605,12945.198128025,1.605,pdi_terminal_functionalized_T1_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t1/pdi_terminal_functionalized_T1_nto.mwfn,True,,3,137a,142a,0.027224,0.977953,
pdi_terminal_functionalized,Terminal-functionalized PDI,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t1/pdi_terminal_functionalized_T1_nto.session.log,True,triplet,Triplet,1,1,T1,0.05898266209192626,1.605,12945.198128025,1.605,pdi_terminal_functionalized_T1_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t1/pdi_terminal_functionalized_T1_nto.mwfn,True,,4,136a,143a,0.005314,0.983267,
pdi_terminal_functionalized,Terminal-functionalized PDI,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t1/pdi_terminal_functionalized_T1_nto.session.log,True,triplet,Triplet,1,1,T1,0.05898266209192626,1.605,12945.198128025,1.605,pdi_terminal_functionalized_T1_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t1/pdi_terminal_functionalized_T1_nto.mwfn,True,,5,135a,144a,0.005051,0.988318,
pdi_terminal_functionalized,Terminal-functionalized PDI,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t1/pdi_terminal_functionalized_T1_nto.session.log,True,triplet,Triplet,1,1,T1,0.05898266209192626,1.605,12945.198128025,1.605,pdi_terminal_functionalized_T1_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t1/pdi_terminal_functionalized_T1_nto.mwfn,True,,6,134a,145a,0.003835,0.9921530000000001,
pdi_terminal_functionalized,Terminal-functionalized PDI,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t1/pdi_terminal_functionalized_T1_nto.session.log,True,triplet,Triplet,1,1,T1,0.05898266209192626,1.605,12945.198128025,1.605,pdi_terminal_functionalized_T1_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t1/pdi_terminal_functionalized_T1_nto.mwfn,True,,7,133a,146a,0.002968,0.995121,
pdi_terminal_functionalized,Terminal-functionalized PDI,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t1/pdi_terminal_functionalized_T1_nto.session.log,True,triplet,Triplet,1,1,T1,0.05898266209192626,1.605,12945.198128025,1.605,pdi_terminal_functionalized_T1_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t1/pdi_terminal_functionalized_T1_nto.mwfn,True,,8,132a,147a,0.002172,0.997293,
pdi_terminal_functionalized,Terminal-functionalized PDI,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t1/pdi_terminal_functionalized_T1_nto.session.log,True,triplet,Triplet,1,1,T1,0.05898266209192626,1.605,12945.198128025,1.605,pdi_terminal_functionalized_T1_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t1/pdi_terminal_functionalized_T1_nto.mwfn,True,,9,131a,148a,0.000706,0.997999,
pdi_terminal_functionalized,Terminal-functionalized PDI,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t1/pdi_terminal_functionalized_T1_nto.session.log,True,triplet,Triplet,1,1,T1,0.05898266209192626,1.605,12945.198128025,1.605,pdi_terminal_functionalized_T1_nto.mwfn,calculations/pdi_terminal_functionalized/multiwfn_analysis/excited_state/nto/t1/pdi_terminal_functionalized_T1_nto.mwfn,True,,10,130a,149a,0.000461,0.99846,
