 Note: The diagonal elements are the sum of corresponding row elements
 ***************************** Bond order matrix *****************************
    30    0.00129822    0.00068810   -0.17768749    0.11189341    0.00260925
    31    0.01290724    0.00005732    0.01296619    0.00037975   -0.00007442
    32    0.00002958    0.00002006    0.00003005   -0.00000592    0.00005873
    33    0.00005776    0.00022277    0.00033097    0.00142971    0.00990826
    34    0.00002808    0.00009948   -0.00015896    0.00010653   -0.00007744
    35   -0.00012969    0.00025667   -0.00018381    0.00003265   -0.00002268
    36    0.00021012    0.00027012    0.00004257    0.00004474    0.00007265
    37    0.00530765   -0.00023157   -0.00002336    0.00007239    0.00013432
    38    0.01717457    0.00771146    0.00063799    0.00022857    0.00020733
    39    0.00055729    0.00760634    0.01807760    0.96152209   -0.03299281
    40   -0.00006574   -0.00017781    0.00528921    0.00536129    0.97789630
            21            22            23            24            25      
     1    0.00243717    0.00203238    0.00483528    0.00093384   -0.00017587
     2    0.00077708   -0.00029612    0.00098714    0.00462240    0.00194114
     3    0.00125360    0.00023007    0.00087020    0.00392499   -0.00158183
     4    0.00039500   -0.00006192    0.00026212    0.00246428    0.00209599
     5    0.00459439    0.00204093    0.00220793    0.00022577   -0.00027331
     6    0.00429919   -0.00151569    0.00420167    0.00106946    0.00027751
     7    0.00026926    0.00045319    0.00038583    0.00705037    0.00008936
     8    0.00037023    0.00012461   -0.00069926   -0.01010277    0.01270619
     9   -0.00401493    0.00098277   -0.00139542    0.93875257   -0.04886873
    10    0.00417688   -0.00119116    0.00322355    0.02146083   -0.02072415
    11   -0.00057314    0.00057635   -0.00133207   -0.00115881   -0.05013683
    12   -0.00064789    0.00013985   -0.00000008    0.00184299    0.01285382
    13    0.00072882    0.00027148    0.00077314    0.00004087    0.00003729
    14    0.00719887   -0.00000178    0.00024013    0.00084586    0.00052430
    15   -0.00966811    0.01273760    0.00173375    0.00008997    0.00000990
    16    0.93623293   -0.05232463   -0.00283508   -0.00186928    0.00099115
    17    0.02309196   -0.01625129    0.02390368    0.00200862   -0.00121886
    18   -0.00171460   -0.05236284    0.93678750    0.00021556    0.00051553
    19    0.00173048    0.01278303   -0.01016956   -0.00121311    0.00029916
    20    0.00008093   -0.00008355    0.00721700    0.00077588    0.00032417
    21    4.40178741    1.17984744    0.04147676    0.00053688   -0.00037434
    22    1.17984744    3.15138363    1.17966122   -0.00033567    0.00009455
    23    0.04147676    1.17966122    4.40139299    0.00127789   -0.00029512
    24    0.00053688   -0.00033567    0.00127789    4.40119356    1.17939877
    25   -0.00037434    0.00009455   -0.00029512    1.17939877    3.15166265
    26    0.00150960   -0.00032096    0.00025748    0.04123473    1.17895048
    27    0.00005333    0.00001496    0.00011837    2.18436623   -0.00183595
    28    0.00011640    0.00001146    0.00007840    0.01314076   -0.00192877
    29    2.18489953   -0.00193472    0.01321628    0.00005878    0.00000609
    30    0.01327481   -0.00192923    2.18509940    0.00014799    0.00000732
    31    0.01225490    0.88660652    0.01222161    0.00001351   -0.00000126
    32   -0.00000413   -0.00000025   -0.00001105    0.01222575    0.88665561
    33   -0.00016434    0.00004566    0.00007281    0.00104504    0.00005009
    34    0.00016797    0.00000544    0.00003217   -0.00416589    0.00058617
    35    0.00001222    0.00001067   -0.00001431    0.00029684    0.00056469
    36    0.00006511    0.00003897   -0.00004409    0.00007991    0.00004113
    37    0.00106465    0.00003071    0.00004637   -0.00008838    0.00002235
    38   -0.00432946    0.00060300    0.00026895   -0.00000143   -0.00000357
    39    0.00028302    0.00062125   -0.00433693   -0.00000204    0.00001473
    40    0.00007895    0.00002932    0.00106933   -0.00001641    0.00002376
            26            27            28            29            30      
     1   -0.00019688    0.00011981    0.00036667    0.00175165    0.00925284
     2    0.00312155    0.00930127    0.00167947    0.00008884    0.00019925
     3    0.00354731    0.00428040    0.00374126   -0.00013125   -0.00014442
     4    0.00493881    0.00176926    0.00954001    0.00021884    0.00008236
     5    0.00109385    0.00005206    0.00009586    0.00944969    0.00163026
     6    0.00098149   -0.00012654   -0.00005786    0.00390964    0.00440167
     7   -0.00014763    0.00240331    0.00058293    0.00105131    0.00222011
     8    0.00193235    0.11122867    0.00503194   -0.00000171    0.00020776
     9   -0.00140539   -0.17682091    0.00142752    0.00069585    0.00115402
    10    0.02098134    0.00103233    0.00127646   -0.00003576    0.00003281
    11    0.93979912    0.00135181   -0.17621326    0.00118060    0.00060436
    12   -0.01024497    0.00494813    0.11108469    0.00021167    0.00003620
    13    0.00712162    0.00060020    0.00199677    0.00218694    0.00098905
    14   -0.00022839    0.00092335    0.00239358    0.00251522    0.00065872
    15    0.00003016    0.00012699    0.00008342    0.11250225    0.00496227
    16   -0.00187235    0.00057021    0.00135657   -0.17771763    0.00129822
