 Note: The diagonal elements are the sum of corresponding row elements
 ***************************** Bond order matrix *****************************
             1             2             3             4             5      
     7    0.00333810   -0.00079783    0.01178481    0.00188333    0.03561226
     8    0.00060978    0.00183418   -0.00059483    0.00190206    0.00148684
     9    0.00144793   -0.00017780    0.01119539   -0.00103737    0.01196227
    10    0.00229688    0.01263111    0.00048995    0.00087331   -0.00012502
    11    0.00520487   -0.00167871    0.00254779    0.00144815    0.00256877
    12    0.00144231    0.00209126    0.00170962   -0.00061156    0.00165732
    13    0.00890270   -0.00024668    0.00260178    0.00126954    0.00876708
    14    0.04210539    0.01227739   -0.00059986    0.01700193    0.00254429
    15    1.49585793    0.00190171    0.01716074    0.00374935    0.01692432
    16    3.55889823    1.23728150   -0.02798469    0.01631672   -0.00047541
    17    1.23728150    3.85969736    1.24375407   -0.00625312    0.01009027
    18   -0.02798469    1.24375407    3.61099872    1.50802255    0.04046178
    19    0.01631672   -0.00625312    1.50802255    3.97508745    1.28814042
    20   -0.00047541    0.01009027    0.04046178    1.28814042    3.83334531
    21    0.92548218    0.02398715   -0.00502081    0.00303146   -0.00146020
    22   -0.05798706    0.00150232   -0.04452998    0.01017462    0.00160144
    23   -0.02296398    0.04323572    0.92047158   -0.01952159    0.00751097
    24    0.00092462    0.00072209   -0.00148613    0.00118891   -0.00034060
    25   -0.00043049   -0.00032138    0.00063088   -0.00016258    0.00036718
    26    0.00072502    0.00039517   -0.00048229   -0.00138702    0.00191062
    27    0.00041245   -0.00005409    0.00132649    0.00000848    0.00220380
    28    0.00156355    0.00016174    0.00018848    0.00027868    0.00079837
    29   -0.14898098    0.00264016    0.00108574    0.00516206    0.00044904
    30    0.00165392    0.00202213   -0.14617378    0.10726793    0.00147773
    31    0.00852820   -0.00324371    0.00406520    0.00381981   -0.00137932
    32    0.00040777   -0.00019544   -0.00052632   -0.00004201    0.00009089
    33   -0.00090762    0.00033693   -0.00018507    0.00075257   -0.00012342
    34   -0.00100599    0.00037273   -0.00020968    0.00073493   -0.00017643
    35   -0.00083281    0.00099162   -0.00013452   -0.00020826    0.00014842
    36   -0.00133039    0.00168034   -0.00075437   -0.00026460    0.00008883
    37   -0.00005044    0.00005484    0.00003768    0.00001554    0.00005261
    38   -0.00001614    0.00008112   -0.00008675    0.00001920    0.00000515
    39    0.00000280    0.00010201    0.00007252   -0.00003926    0.00000919
    40    0.00000315    0.00006167    0.00007739    0.00001011    0.00003270
    41    0.00016397    0.00021187    0.00025278    0.00140491    0.00953453
    42   -0.00002021    0.00002850   -0.00010562    0.00019259   -0.00012133
    43    0.00009520    0.00010992   -0.00009104    0.00023441   -0.00020116
    44   -0.00005901    0.00031100   -0.00001209    0.00005823    0.00008068
    45    0.00566870   -0.00059978    0.00009613    0.00003413    0.00013538
    46    0.01777478    0.00783982    0.00059232    0.00025022    0.00025262
    47    0.00074440    0.00770848    0.01841932    0.96249139   -0.03661888
    48   -0.00005296   -0.00040097    0.00552883    0.00527216    0.98088577
    49    0.00211328   -0.00006850    0.00454809   -0.00021657   -0.00001788
    50   -0.00005241    0.00006575    0.00000056   -0.00003802   -0.00001004
    51    0.00007939    0.00004575    0.00022518    0.00003771    0.00004958
    52    0.00199453    0.00011736   -0.00038257    0.00004420    0.00000718
    53    0.00189628    0.00002226   -0.00038991    0.00005040    0.00000867
    54    0.00001132    0.00012869    0.00025935    0.00001587    0.00000822
    55   -0.00061742    0.00068147   -0.00005463   -0.00007707    0.00003580
    56   -0.00042560    0.00007056    0.00047486   -0.00000577   -0.00000073
    57    0.00002646    0.00009222   -0.00013317    0.00007735   -0.00001168
    58   -0.00000113   -0.00001267   -0.00010301    0.00009023   -0.00000476
    59   -0.00046841    0.00004377    0.00046621   -0.00000455   -0.00000363
    60   -0.00097339    0.00106911   -0.00055851   -0.00013429    0.00004532
    61   -0.00000724    0.00002813   -0.00000839    0.00002898   -0.00003214
    62    0.00000134    0.00000030    0.00000693   -0.00000209    0.00000923
    63    0.00001008    0.00000813    0.00000453    0.00000440   -0.00000042
    64   -0.00001828    0.00005104    0.00000721    0.00002222   -0.00003909
    65    0.00000023   -0.00005132   -0.00001905   -0.00001698    0.00001389
    66    0.00000439   -0.00001206   -0.00000923    0.00000088    0.00000144
    67   -0.00001282    0.00000964   -0.00000567    0.00000187    0.00001302
    68   -0.00000843    0.00006068    0.00000745    0.00000177    0.00000827
    69    0.00000027   -0.00002046    0.00000313   -0.00000568    0.00001144
    70    0.00000151   -0.00001285   -0.00001399   -0.00000765   -0.00000747
