       168

Path index:         1
 -0.218027934505E+01 -0.575260568179E+01 -0.387768325027E+00
 -0.219412380593E+01 -0.572599216448E+01 -0.387541170428E+00
 -0.220797200872E+01 -0.569938059235E+01 -0.387314216240E+00
 -0.222182362529E+01 -0.567277079528E+01 -0.387087460248E+00
 -0.223567857398E+01 -0.564616273121E+01 -0.386860913602E+00
 -0.224953658496E+01 -0.561955626010E+01 -0.386634580292E+00
 -0.226339729163E+01 -0.559295119140E+01 -0.386408461146E+00
 -0.227726027739E+01 -0.556634730837E+01 -0.386182555005E+00
 -0.229112511125E+01 -0.553974438666E+01 -0.385956858264E+00
 -0.230499139437E+01 -0.551314221863E+01 -0.385731363055E+00
 -0.231885883364E+01 -0.548654065169E+01 -0.385506053682E+00
 -0.233272736058E+01 -0.545993965045E+01 -0.385280900669E+00
 -0.234659731336E+01 -0.543333939175E+01 -0.385055851914E+00
 -0.236046968378E+01 -0.540674039364E+01 -0.384830821516E+00
 -0.237434637920E+01 -0.538014365258E+01 -0.384605679792E+00
 -0.238823035122E+01 -0.535355071172E+01 -0.384380252603E+00
 -0.240212535670E+01 -0.532696353837E+01 -0.384154340810E+00
 -0.241603521399E+01 -0.530038413784E+01 -0.383927762848E+00
 -0.242996279168E+01 -0.527381402516E+01 -0.383700403804E+00
 -0.244390929621E+01 -0.524725384908E+01 -0.383472242119E+00
 -0.245787424089E+01 -0.522070337029E+01 -0.383243340151E+00
 -0.247185595454E+01 -0.519416172377E+01 -0.383013811587E+00
 -0.248585222027E+01 -0.516762775244E+01 -0.382783787676E+00
 -0.249986075867E+01 -0.514110026159E+01 -0.382553394549E+00
 -0.251387949016E+01 -0.511457815822E+01 -0.382322742399E+00
 -0.252790663036E+01 -0.508806050260E+01 -0.382091922444E+00
 -0.254194069276E+01 -0.506154651061E+01 -0.381861007640E+00
 -0.255598045299E+01 -0.503503553565E+01 -0.381630054688E+00
 -0.257002490553E+01 -0.500852704615E+01 -0.381399106309E+00
 -0.258407322638E+01 -0.498202060616E+01 -0.381168193532E+00
 -0.259812474461E+01 -0.495551586053E+01 -0.380937338051E+00
 -0.261217892041E+01 -0.492901252335E+01 -0.380706554592E+00
 -0.262623532492E+01 -0.490251036742E+01 -0.380475853049E+00
 -0.264029361812E+01 -0.487600921254E+01 -0.380245239971E+00
 -0.265435352464E+01 -0.484950891275E+01 -0.380014719129E+00
 -0.266841481359E+01 -0.482300934566E+01 -0.379784291589E+00
 -0.268247729299E+01 -0.479651040948E+01 -0.379553956556E+00
 -0.269654082264E+01 -0.477001202986E+01 -0.379323714170E+00
 -0.271060532566E+01 -0.474351416602E+01 -0.379093568640E+00
 -0.272467076016E+01 -0.471701679572E+01 -0.378863526521E+00
 -0.273873709098E+01 -0.469051990027E+01 -0.378633593936E+00
 -0.275280438298E+01 -0.466402351399E+01 -0.378403790604E+00
 -0.276687277440E+01 -0.463752771004E+01 -0.378174147930E+00
 -0.277857258112E+01 -0.461549589692E+01 -0.377983392926E+00

Path index:         5
        68
  0.197701563537E-01 -0.594844757896E+01 -0.381292854117E+00
 -0.102292959085E-01 -0.594859002046E+01 -0.381404989686E+00
 -0.402284554124E-01 -0.594878443282E+01 -0.381517385837E+00
 -0.702273774659E-01 -0.594901244403E+01 -0.381630020272E+00
 -0.100226011620E+00 -0.594927549331E+01 -0.381742953686E+00
 -0.130224301216E+00 -0.594957513652E+01 -0.381856246440E+00
 -0.160222180638E+00 -0.594991321885E+01 -0.381969959018E+00
 -0.190219573342E+00 -0.595029188880E+01 -0.382084151848E+00
 -0.220216390113E+00 -0.595071357582E+01 -0.382198884981E+00
 -0.250212527454E+00 -0.595118095466E+01 -0.382314217717E+00
 -0.280207866149E+00 -0.595169690310E+01 -0.382430208210E+00
 -0.310202270019E+00 -0.595226445614E+01 -0.382546913076E+00
 -0.340195584928E+00 -0.595288675884E+01 -0.382664387005E+00
 -0.370187638072E+00 -0.595356701936E+01 -0.382782682405E+00
 -0.400178237583E+00 -0.595430846410E+01 -0.382901849073E+00
 -0.430167172439E+00 -0.595511429648E+01 -0.383021933928E+00
 -0.460154212668E+00 -0.595598766120E+01 -0.383142980808E+00
 -0.490139109760E+00 -0.595693161582E+01 -0.383265030354E+00
 -0.520121597168E+00 -0.595794911163E+01 -0.383388119992E+00
 -0.550101390739E+00 -0.595904298584E+01 -0.383512284046E+00
 -0.580078188798E+00 -0.596021596731E+01 -0.383637553989E+00
 -0.610051671614E+00 -0.596147069825E+01 -0.383763958865E+00
 -0.640021499813E+00 -0.596280977418E+01 -0.383891525894E+00
 -0.669987311298E+00 -0.596423580506E+01 -0.384020281305E+00
 -0.699948716090E+00 -0.596575149985E+01 -0.384150251393E+00
 -0.729905288437E+00 -0.596735977734E+01 -0.384281463853E+00
 -0.759856555447E+00 -0.596906390529E+01 -0.384413949392E+00
 -0.789801981360E+00 -0.597086766969E+01 -0.384547743633E+00
 -0.819740946498E+00 -0.597277557486E+01 -0.384682889328E+00
 -0.849672719793E+00 -0.597479307371E+01 -0.384819438853E+00
 -0.879596423661E+00 -0.597692682575E+01 -0.384957456954E+00
 -0.909510989872E+00 -0.597918497756E+01 -0.385097023685E+00
 -0.939415104943E+00 -0.598157745754E+01 -0.385238237444E+00
 -0.969307143534E+00 -0.598411627330E+01 -0.385381217960E+00
 -0.999185088318E+00 -0.598681579586E+01 -0.385526109072E+00
 -0.102904643505E+01 -0.598969301165E+01 -0.385673081072E+00
 -0.105888808199E+01 -0.599276772008E+01 -0.385822332380E+00
