        96

Path index:         1
  0.710529260425E+00 -0.594877583064E+01 -0.594025483852E-01
  0.740491429194E+00 -0.595027336098E+01 -0.595633136820E-01
  0.770448612195E+00 -0.595186734594E+01 -0.597257902470E-01
  0.800400258709E+00 -0.595356201231E+01 -0.598900370537E-01
  0.830345723802E+00 -0.595536243870E+01 -0.600561248523E-01
  0.860284238108E+00 -0.595727480167E+01 -0.602241397602E-01
  0.890214869403E+00 -0.595930664668E+01 -0.603941871580E-01
  0.920136474535E+00 -0.596146717684E+01 -0.605663957790E-01
  0.950047640144E+00 -0.596376754910E+01 -0.607409218276E-01
  0.979946610623E+00 -0.596622116364E+01 -0.609179529075E-01
  0.100983120184E+01 -0.596884392834E+01 -0.610977114845E-01
  0.103969869952E+01 -0.597165447741E+01 -0.612804575680E-01
  0.106954574191E+01 -0.597467432053E+01 -0.614664902635E-01
  0.109936818745E+01 -0.597792789886E+01 -0.616561478542E-01
  0.112916096998E+01 -0.598144252629E+01 -0.618498061082E-01
  0.115891794608E+01 -0.598524819865E+01 -0.620478745900E-01
  0.118863174191E+01 -0.598937726177E+01 -0.622507908828E-01
  0.121829360919E+01 -0.599386393909E+01 -0.624590127918E-01
  0.124789330227E+01 -0.599874373158E+01 -0.626730087852E-01
  0.127741898907E+01 -0.600405271590E+01 -0.628932471267E-01
  0.130685720723E+01 -0.600982677951E+01 -0.631201843363E-01
  0.133619287343E+01 -0.601610084521E+01 -0.633542537976E-01
  0.136540934454E+01 -0.602290815338E+01 -0.635958555178E-01
  0.139448851476E+01 -0.603027969410E+01 -0.638453483216E-01
  0.142341090452E+01 -0.603824392426E+01 -0.641030462509E-01
  0.145215564819E+01 -0.604682698094E+01 -0.643692218201E-01
  0.148070020151E+01 -0.605605373047E+01 -0.646441202256E-01
  0.150901944895E+01 -0.606595017639E+01 -0.649279906016E-01
  0.153708368103E+01 -0.607654795634E+01 -0.652211423822E-01
  0.156485464646E+01 -0.608789175356E+01 -0.655240348681E-01
  0.159227865209E+01 -0.610005011349E+01 -0.658374019225E-01
  0.161927573573E+01 -0.611312879290E+01 -0.661623938535E-01
  0.164572482247E+01 -0.612728263956E+01 -0.665006768779E-01
  0.167144745805E+01 -0.614271704655E+01 -0.668543712283E-01
  0.169619815971E+01 -0.615966593736E+01 -0.672256764777E-01
  0.171967613715E+01 -0.617833763038E+01 -0.676161315593E-01
  0.174157208824E+01 -0.619884127702E+01 -0.680257663575E-01
  0.176164141332E+01 -0.622113566876E+01 -0.684527176533E-01
  0.177976159618E+01 -0.624504099270E+01 -0.688936943665E-01
  0.179593208012E+01 -0.627030582600E+01 -0.693449676182E-01
  0.181021875031E+01 -0.629668159302E+01 -0.698031912604E-01
  0.182266908063E+01 -0.632397216562E+01 -0.702657083683E-01
  0.183316263627E+01 -0.635207322190E+01 -0.707303866226E-01
  0.183983158504E+01 -0.637599019747E+01 -0.711146394693E-01

Path index:         7
        24
  0.216159703388E+01 -0.575157469370E+01 -0.636127005835E-01
  0.214778493273E+01 -0.577820407687E+01 -0.639317833842E-01
  0.213398105889E+01 -0.580483772383E+01 -0.642510267769E-01
  0.212018160278E+01 -0.583147365897E+01 -0.645703544954E-01
  0.210638653078E+01 -0.585811186396E+01 -0.648897656405E-01
  0.209259606456E+01 -0.588475245259E+01 -0.652092637012E-01
  0.207881025512E+01 -0.591139545023E+01 -0.655288489999E-01
  0.206502908794E+01 -0.593804084835E+01 -0.658485207149E-01
  0.205125254190E+01 -0.596468863502E+01 -0.661682779706E-01
  0.203748064295E+01 -0.599133882264E+01 -0.664881207897E-01
  0.202371353824E+01 -0.601799148615E+01 -0.668080513724E-01
  0.200995160431E+01 -0.604464681880E+01 -0.671280759360E-01
  0.199619558261E+01 -0.607130520178E+01 -0.674482069803E-01
  0.198244668477E+01 -0.609796725802E+01 -0.677684649747E-01
  0.196870653835E+01 -0.612463382346E+01 -0.680888772627E-01
  0.195497684380E+01 -0.615130576952E+01 -0.684094720524E-01
  0.194125881640E+01 -0.617798371573E+01 -0.687302689018E-01
  0.192755276514E+01 -0.620466781428E+01 -0.690512717621E-01
  0.191385810236E+01 -0.623135775703E+01 -0.693724694633E-01
  0.190017369396E+01 -0.625805295671E+01 -0.696938419021E-01
  0.188649825135E+01 -0.628475274868E+01 -0.700153668048E-01
  0.187283058149E+01 -0.631145651878E+01 -0.703370240462E-01
  0.185916967475E+01 -0.633816374793E+01 -0.706587974554E-01
  0.183983158504E+01 -0.637599019747E+01 -0.711146394693E-01

Path index:         8
        45
  0.216159703388E+01 -0.575157469370E+01 -0.636127005835E-01
  0.217540913504E+01 -0.572494531053E+01 -0.632936177829E-01
  0.218922910009E+01 -0.569832000580E+01 -0.629746916024E-01
  0.220305294487E+01 -0.567169671427E+01 -0.626558438377E-01
  0.221688031309E+01 -0.564507525167E+01 -0.623370697437E-01
  0.223071110253E+01 -0.561845556547E+01 -0.620183690754E-01
  0.224454501279E+01 -0.559183750015E+01 -0.616997382477E-01
  0.225838164083E+01 -0.556522084671E+01 -0.613811726440E-01
  0.227222053008E+01 -0.553860536814E+01 -0.610626683187E-01
  0.228606120881E+01 -0.551199081939E+01 -0.607442239957E-01
  0.229990324081E+01 -0.548537697366E+01 -0.604258440546E-01
  0.231374630624E+01 -0.545876366451E+01 -0.601075431528E-01
  0.232759033286E+01 -0.543215085402E+01 -0.597893531183E-01
  0.234143569763E+01 -0.540553873766E+01 -0.594713323687E-01
  0.235528350122E+01 -0.537892788711E+01 -0.591535766977E-01
  0.236913586156E+01 -0.535231940346E+01 -0.588362270398E-01
  0.238299606263E+01 -0.532571499615E+01 -0.585194652584E-01
  0.239686829751E+01 -0.529911685227E+01 -0.582034876876E-01
  0.241075684715E+01 -0.527252721248E+01 -0.578884564565E-01
  0.242466495105E+01 -0.524594778349E+01 -0.575744497082E-01
  0.243859400014E+01 -0.521937931313E+01 -0.572614412262E-01
  0.245254348823E+01 -0.519282155791E+01 -0.569493196595E-01
  0.246651157294E+01 -0.516627357032E+01 -0.566379290110E-01
  0.248049578962E+01 -0.513973407008E+01 -0.563271059010E-01
  0.249449359490E+01 -0.511320172950E+01 -0.560167021214E-01
  0.250850266366E+01 -0.508667533085E+01 -0.557065935640E-01
  0.252252099859E+01 -0.506015382561E+01 -0.553966810006E-01
  0.253654693508E+01 -0.503363633830E+01 -0.550868873877E-01
  0.255057910264E+01 -0.500712214702E+01 -0.547771543174E-01
  0.256461637718E+01 -0.498061065896E+01 -0.544674386469E-01
  0.257865783951E+01 -0.495410138881E+01 -0.541577094910E-01
  0.259270274311E+01 -0.492759394214E+01 -0.538479454801E-01
  0.260675048889E+01 -0.490108800216E+01 -0.535381322420E-01
  0.262080060192E+01 -0.487458331761E+01 -0.532282602457E-01
  0.263485270656E+01 -0.484807968966E+01 -0.529183232819E-01
  0.264890649979E+01 -0.482157695787E+01 -0.526083177475E-01
  0.266296172920E+01 -0.479507498852E+01 -0.522982424068E-01
  0.267701818612E+01 -0.476857367102E+01 -0.519880976352E-01
  0.269107571747E+01 -0.474207292425E+01 -0.516778832498E-01
  0.270513423622E+01 -0.471557270213E+01 -0.513675960866E-01
  0.271919369234E+01 -0.468907297822E+01 -0.510572312262E-01
  0.273325404329E+01 -0.466257373004E+01 -0.507467841474E-01
  0.274731534467E+01 -0.463607498732E+01 -0.504362403003E-01
  0.276137772283E+01 -0.460957681741E+01 -0.501255765698E-01
  0.277321888306E+01 -0.458726722812E+01 -0.498638572584E-01

Path index:         9
        45
 -0.410051108707E+01 -0.457110348960E+01 -0.430443580243E-01
 -0.413051096630E+01 -0.457102597890E+01 -0.430795484852E-01
 -0.416051087361E+01 -0.457096021767E+01 -0.431147184339E-01
 -0.419051079847E+01 -0.457090301325E+01 -0.431498787450E-01
 -0.422051073503E+01 -0.457085230414E+01 -0.431850164551E-01
 -0.425051068279E+01 -0.457080869361E+01 -0.432201232895E-01
 -0.428051064061E+01 -0.457077262548E+01 -0.432551903618E-01
 -0.431051060692E+01 -0.457074442611E+01 -0.432902076950E-01
 -0.434051057988E+01 -0.457072441681E+01 -0.433251650779E-01
 -0.437051055741E+01 -0.457071296242E+01 -0.433600537305E-01
 -0.440051053711E+01 -0.457071048562E+01 -0.433948693543E-01
 -0.443051051617E+01 -0.457071744998E+01 -0.434296174489E-01
 -0.446051049137E+01 -0.457073429547E+01 -0.434643220028E-01
 -0.449051045913E+01 -0.457076129499E+01 -0.434990384185E-01
 -0.452051041609E+01 -0.457079829721E+01 -0.435338698196E-01
 -0.455051036019E+01 -0.457084435390E+01 -0.435689812716E-01
 -0.458051029226E+01 -0.457089733932E+01 -0.436045991670E-01
 -0.461051021701E+01 -0.457095383177E+01 -0.436409800880E-01
 -0.464051014199E+01 -0.457100955126E+01 -0.436783482330E-01
 -0.467051007437E+01 -0.457106030778E+01 -0.437168309614E-01
 -0.470051001793E+01 -0.457110294685E+01 -0.437564329577E-01
 -0.473050997246E+01 -0.457113577556E+01 -0.437970591464E-01
 -0.476050993521E+01 -0.457115841705E+01 -0.438385611085E-01
 -0.479050990270E+01 -0.457117138823E+01 -0.438807783012E-01
 -0.482050987189E+01 -0.457117568226E+01 -0.439235625452E-01
 -0.485050984057E+01 -0.457117247456E+01 -0.439667878714E-01
 -0.488050980743E+01 -0.457116295389E+01 -0.440103517557E-01
 -0.491050977182E+01 -0.457114823939E+01 -0.440541726041E-01
 -0.494050973358E+01 -0.457112934513E+01 -0.440981862403E-01
 -0.497050969289E+01 -0.457110716685E+01 -0.441423426055E-01
 -0.500050965008E+01 -0.457108247863E+01 -0.441866030064E-01
 -0.503050960558E+01 -0.457105593565E+01 -0.442309378687E-01
 -0.506050955981E+01 -0.457102808330E+01 -0.442753248495E-01
 -0.509050951319E+01 -0.457099937188E+01 -0.443197472137E-01
 -0.512050946605E+01 -0.457097017357E+01 -0.443641924687E-01
 -0.515050941873E+01 -0.457094079570E+01 -0.444086513130E-01
 -0.518050937146E+01 -0.457091148757E+01 -0.444531169160E-01
