system,atom,element,x,y,z,hirshfeld_charge,region,fragment,subregion,label,mapping_status,source_file
pdi_terminal_functionalized,31,C,-7.195398,-0.033012,-0.158232,0.0331288908,terminal_left_alpha,terminal_left,alpha,TL_C1,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,32,C,7.186597,0.008309,-0.228834,0.0331280479,terminal_right_alpha,terminal_right,alpha,TR_C1,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,33,C,-7.777902,-0.636167,-1.441149,-0.0520133097,terminal_left_beta,terminal_left,beta,TL_C2,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,34,C,-7.770066,-0.65824,1.117657,-0.0520112995,terminal_left_beta,terminal_left,beta,TL_C3,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,35,C,-7.171387,-0.078357,2.396731,-0.0882715385,terminal_left_gamma,terminal_left,gamma,TL_C4,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,36,C,-7.183671,-0.03724,-2.713542,-0.0882893854,terminal_left_gamma,terminal_left,gamma,TL_C5,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,37,C,7.759736,0.623336,-1.510355,-0.0520214486,terminal_right_beta,terminal_right,beta,TR_C2,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,38,C,7.770492,0.621862,1.0485,-0.052005833,terminal_right_beta,terminal_right,beta,TR_C3,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,39,C,7.15521,0.03741,-2.783919,-0.0882772081,terminal_right_gamma,terminal_right,gamma,TR_C4,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,40,C,7.182329,0.028844,2.326461,-0.0882854073,terminal_right_gamma,terminal_right,gamma,TR_C5,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,41,H,0.959515,3.377475,-0.210185,0.0466661714,middle,,,H3,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,42,H,3.412752,3.343543,-0.220625,0.0536609045,outer,,,H4,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,43,H,3.443934,-3.336355,-0.202679,0.0540024634,outer,,,H5,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,44,H,0.992044,-3.39328,-0.19715,0.0466889773,middle,,,H6,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,45,H,-0.96871,-3.402505,-0.208295,0.0466675845,middle,,,H7,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,46,H,-3.42187,-3.36837,-0.202517,0.0536567813,outer,,,H8,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,47,H,-3.45236,3.311225,-0.135776,0.0540040965,outer,,,H9,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,48,H,-1.000392,3.367978,-0.145657,0.0466874757,middle,,,H10,matched,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,49,H,-7.438534,1.033813,-0.148377,0.0310438954,terminal_left_alpha,terminal_left,alpha,TL_H1,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
pdi_terminal_functionalized,50,H,7.429861,-1.058529,-0.23054,0.0310450333,terminal_right_alpha,terminal_right,alpha,TL_H2,functionalized_only,calculations/pdi_terminal_functionalized/multiwfn_analysis/charges/pdi_terminal_functionalized_hirshfeld.chg
